#index	x1-position	x2-position	bottom_pos	top_position	width	width_calc
0	287.5234	1820.4988	1722	1922	199.6562	200
1	351.547	1822.2135	1724	1924	200.0781	200
2	415.5638	1823.9822	1726	1925	198.7969	199
3	479.5737	1825.7055	1728	1926	198.0781	198
4	543.5933	1827.2702	1731	1927	196.7031	196
5	607.6037	1828.8635	1733	1928	195.9688	195
6	671.6098	1830.4122	1735	1929	194.875	194
7	735.6205	1831.9264	1737	1931	194.0156	194
8	799.6049	1833.3852	1738	1931	193.1094	193
9	863.6351	1834.8946	1741	1933	192.1094	192
10	927.6482	1836.3092	1742	1933	191.3438	191
11	991.618	1837.8439	1745	1935	190.3906	190
12	1055.6278	1839.2529	1746	1935	189.3438	189
13	1119.6446	1840.6604	1748	1937	188.8281	189
14	1183.5955	1842.061	1750	1937	187.9844	187
15	1247.6505	1843.4114	1751	1938	187.0469	187
16	1311.6361	1844.7809	1753	1939	186.3125	186
17	1375.6431	1846.2376	1755	1940	185.2031	185
18	1439.6395	1847.4981	1757	1941	184.625	184
19	1503.6562	1848.816	1759	1942	183.1875	183
20	1567.632	1850.2318	1761	1943	182.2969	182
21	1631.6485	1851.4982	1762	1943	181.2344	181
22	1695.6227	1852.8434	1764	1945	180.5781	181
23	1759.6591	1854.1244	1766	1945	179.3125	179
24	1823.6155	1855.4571	1768	1946	179.0312	178
25	1887.6461	1856.7331	1769	1947	177.9844	178
26	1951.6786	1858.0389	1771	1948	177.8438	177
27	2015.6367	1859.3065	1773	1948	175.7969	175
28	2079.6625	1860.5662	1774	1949	175.625	175
29	2143.6323	1861.9547	1776	1950	174.4062	174
30	2207.6657	1863.2733	1778	1951	173.7812	173
31	2271.6575	1864.5763	1779	1952	173.0625	173
32	2335.6896	1866.0735	1781	1953	172.1719	172
33	2399.7197	1867.1785	1783	1954	171	171
34	2463.6639	1868.6729	1785	1955	169.5469	170
35	2527.6681	1869.9377	1787	1956	169.0781	169
36	2591.7294	1871.3231	1788	1957	168.3906	169
37	2655.6816	1872.7343	1791	1958	167.0781	167
38	2719.7157	1874.0284	1792	1958	166.2344	166
39	2783.7218	1875.691	1794	1960	165.8594	166
40	2847.7587	1876.9074	1796	1961	165	165
41	2911.7009	1878.4342	1798	1962	164.2188	164
42	2975.7134	1880.0123	1799	1963	163.5469	164
43	3039.7413	1881.2137	1801	1964	162.4531	163
44	3103.7073	1883.0027	1804	1965	161.3594	161
45	3167.7058	1884.4217	1805	1966	161	161
46	3231.7525	1886.0284	1807	1967	159.6406	160
47	3295.7056	1887.6814	1810	1969	159.2344	159
48	3359.7612	1889.4864	1812	1969	157.25	157
49	3423.7594	1890.9369	1814	1970	156.2812	156
50	3487.6548	1892.6017	1815	1972	155.6406	157
51	3551.8526	1894.4864	1818	1973	155.2031	155
52	3615.8261	1896.2239	1821	1975	154.1719	154
53	3679.7657	1897.7584	1823	1976	152.7656	153
54	3743.7794	1899.9773	1825	1977	152.2969	152
55	3807.6782	1901.8	1828	1979	150.9844	151
